[root@rh7-ocp3-mst01 ~]# oc get all --all-namespaces
NAMESPACE                           NAME                                               READY     STATUS      RESTARTS   AGE
operator-lifecycle-manager   replicaset.apps/olm-operator-65598d48c4                  1         1         1         1d

NAMESPACE              NAME                                 DESIRED   CURRENT   AGE
openshift-monitoring   statefulset.apps/alertmanager-main   3         3         2d
openshift-monitoring   statefulset.apps/prometheus-k8s      2         2         2d

NAMESPACE           NAME                                   DESIRED   SUCCESSFUL   AGE
openshift-infra     job.batch/hawkular-metrics-schema      1         1            58m
openshift-logging   job.batch/logging-curator-1579944600   1         0            18h

NAMESPACE           NAME                            SCHEDULE     SUSPEND   ACTIVE    LAST SCHEDULE   AGE
openshift-logging   cronjob.batch/logging-curator   30 3 * * *   False     0         18h             1d

NAMESPACE                          NAME                                                                      REVISION   DESIRED   CURRENT   TRIGGERED BY
app-storage                        deploymentconfig.apps.openshift.io/glusterblock-storage-provisioner-dc    1          1         1         config
app-storage                        deploymentconfig.apps.openshift.io/heketi-storage                         1          1         1         config
default                            deploymentconfig.apps.openshift.io/docker-registry                        2          1         1         config
default                            deploymentconfig.apps.openshift.io/registry-console                       2          1         1         config
default                            deploymentconfig.apps.openshift.io/router                                 2          3         3         config
infra-storage                      deploymentconfig.apps.openshift.io/glusterblock-registry-provisioner-dc   1          1         1         config
infra-storage                      deploymentconfig.apps.openshift.io/heketi-registry                        1          1         1         config
openshift-ansible-service-broker   deploymentconfig.apps.openshift.io/asb                                    1          1         1         config
openshift-logging                  deploymentconfig.apps.openshift.io/logging-es-data-master-bwqiivte        3          1         1         
openshift-logging                  deploymentconfig.apps.openshift.io/logging-es-data-master-lw48dkwh        2          1         1         
openshift-logging                  deploymentconfig.apps.openshift.io/logging-es-data-master-qse0y0p3        2          1         1         
openshift-logging                  deploymentconfig.apps.openshift.io/logging-kibana                         1          1         1         config

NAMESPACE        NAME                                                                          DOCKER REPO                                                                               TAGS                              UPDATED
openshift-node   imagestream.image.openshift.io/node                                           docker-registry.default.svc:5000/openshift-node/node                                      v3.11                             2 days ago
openshift-sdn    imagestream.image.openshift.io/node                                           docker-registry.default.svc:5000/openshift-sdn/node                                       v3.11                             32 hours ago
openshift        imagestream.image.openshift.io/apicurito-ui                                   docker-registry.default.svc:5000/openshift/apicurito-ui                                   1.3,1.4,1.5 + 1 more...           2 days ago
openshift        imagestream.image.openshift.io/dotnet                                         docker-registry.default.svc:5000/openshift/dotnet                                         2.1,2.2,latest + 3 more...        2 days ago
openshift        imagestream.image.openshift.io/dotnet-runtime                                 docker-registry.default.svc:5000/openshift/dotnet-runtime                                 2.0,2.1,2.2 + 1 more...           2 days ago
openshift        imagestream.image.openshift.io/eap-cd-openshift                               docker-registry.default.svc:5000/openshift/eap-cd-openshift                               12,13,15.0 + 10 more...           2 days ago
openshift        imagestream.image.openshift.io/fis-java-openshift                             docker-registry.default.svc:5000/openshift/fis-java-openshift                             1.0,2.0                           2 days ago
